"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"OD919","Rob Jones","SCS2","Intermediaries Director","Intermediaries Director","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","466436","1.00","115000","115000","","Policy Profession","London","nan","1.00"
"OD920","Cath Rollo","SCS2","Director SRO of Unity Programme","Director SRO of Unity Programme","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","0","1.00","115000","115000","","Project Delivery Profession","Scotland","nan","1.00"
"OD923","N/D","SCS1","Head of Intermediaries Directorate Strategic Approach","Head of Intermediaries Directorate Strategic Approach","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD919","1492403","1.00","N/A","N/A","","Government Economic Service","London","nan","1.00"
"OD924","N/D","SCS1","Deputy Director Organisation Transformation","Deputy Director Organisation Transformation","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD977","1739400","1.00","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","nan","1.00"
"OD928","Alison Woodhouse","SCS2","Director Knowledge, Analysis & Intelligence - Role 2","Director Knowledge, Analysis & Intelligence - Role 2","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","1671132","1.00","110000","110000","","Government Economic Service","London","nan","1.00"
"OD929","Vacant","SCS1","CDIO Borders & Trade Programme Director","CDIO Borders & Trade Programme Director","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 31/07/2024","1.00"
"OD930","Vacant","SCS1","Deputy Director Apprenticeships & Talent","Deputy Director Apprenticeships & Talent","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 01/04/2026","1.00"
"OD931","Richard Hawthorn","SCS2","Director Operational Excellence Support Services","Director Operational Excellence Support Services","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD103","769000","1.00","115000","115000","","Operational Delivery Profession","West Midlands","nan","1.00"
"OD932","N/D","SCS1","DD Operational Planning, Performance & Eval","DD Operational Planning, Performance & Eval","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD523","1982752","0.59","N/A","N/A","","Operational Delivery Profession","North West","nan","1.00"
"OD934","N/D","SCS1","Deputy Director - Pillar 1 & 2 (OECD International Data Sharing) Programme Director","Deputy Director - Pillar 1 & 2 (OECD International Data Sharing) Programme Director","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD767","2314750","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD935","N/D","SCS1","Head of Service Central Platform Services","Head of Service Central Platform Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD988","2734561","1.00","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","nan","1.00"
"OD937","Alison Bexfield","SCS2","Director, Risk, Control and Financial Systems","Director, Risk, Control and Financial Systems","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD105","785573","1.00","150000","150000","","Government Finance Profession","London","nan","1.00"
"OD938","N/D","SCS1","Automatic Exchange of Information Programme Director","Automatic Exchange of Information Programme Director","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD767","1699284","1.00","N/A","N/A","","Project Delivery Profession","North West","nan","1.00"
"OD939","N/D","SCS1","Deputy Director For Employee Experience and Policy","Deputy Director For Employee Experience and Policy","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD252","2400186","1.00","N/A","N/A","","Human Resources Profession","North East","Jobshare","1.00"
"OD939","N/D","SCS1","Deputy Director For Employee Experience and Policy","Deputy Director For Employee Experience and Policy","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD252","2400186","1.00","N/A","N/A","","Human Resources Profession","North East","Jobshare","1.00"
"OD940","N/D","SCS1","Deputy Director Employment Framework Services","Deputy Director Employment Framework Services","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD252","2672008","1.00","N/A","N/A","","Human Resources Profession","London","nan","1.00"
"OD942T","Janet Alexander","SCS2","Compliance Operations Director","Compliance Operations Director","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD106","13930670","1.00","120000","120000","","Government Tax Profession","North West","nan","1.00"
"OD943","N/D","SCS1","Deputy Director Corporate Centre COD","Deputy Director Corporate Centre COD","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD942T","2879734","1.00","N/A","N/A","","Policy Profession","West Midlands","nan","1.00"
"OD945","N/D","SCS1","Deputy Director CCG Compliance Capability Lead","Deputy Director CCG Compliance Capability Lead","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD942T","3124255","1.00","N/A","N/A","","Operational Delivery Profession","London","nan","1.00"
"OD948","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1164","0","0.65","N/A","N/A","","Corporate Finance Profession","North East","nan","1.00"
"OD949","N/D","SCS1","Portfolio Delivery Deputy Director","Portfolio Delivery Deputy Director","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD507","2060617","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD950","N/D","SCS1","Deputy Director – Strategic Data Policy","Deputy Director – Strategic Data Policy","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD418","1792681","0.73","N/A","N/A","","Policy Profession","London","Jobshare","1.00"
"OD950","N/D","SCS1","Deputy Director – Strategic Data Policy","Deputy Director – Strategic Data Policy","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD418","1792681","0.73","N/A","N/A","","Policy Profession","London","Jobshare","1.00"
"OD951","N/D","SCS1","Deputy Director – Intermediaries Hub","Deputy Director – Intermediaries Hub","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD919","2230517","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD953","N/D","SCS1","Chief Domain Architect - SAP Architecture","Chief Domain Architect - SAP Architecture","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","0","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD954","N/D","SCS1","Chief Domain Architect - Infrastructure Architecture","Chief Domain Architect - Infrastructure Architecture","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","0","1.00","N/A","N/A","","Digital, Data and Technology Professions","Wales","nan","1.00"
"OD955","N/D","SCS1","Chief Architect for Corporate Services","Chief Architect for Corporate Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","0","1.00","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","nan","1.00"
"OD956","N/D","SCS1","Chief Domain Architect - Citizen Engagement","Chief Domain Architect - Citizen Engagement","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","254827","1.00","N/A","N/A","","Digital, Data and Technology Professions","North East","Reporting To Costs Escalated to OD509","1.00"
"OD957","N/D","SCS1","Chief Domain Architect - Taxation & Benefit Processing - MTD","Chief Domain Architect - Taxation & Benefit Processing - MTD","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","0","1.00","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","nan","1.00"
"OD958","N/D","SCS1","Chief Domain Architect - CDS","Chief Domain Architect - CDS","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD692","0","1.00","N/A","N/A","","Other","London","nan","1.00"
"OD959","N/D","SCS1","Chief Domain Architect - Data Architecture","Chief Domain Architect - Data Architecture","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","0","1.00","N/A","N/A","","Other","South West","nan","1.00"
"OD960","N/D","SCS1","Chief Domain Architect - Application & Integration Architecture","Chief Domain Architect - Application & Integration Architecture","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","0","1.00","N/A","N/A","","Other","West Midlands","nan","1.00"
"OD961","N/D","SCS1","Chief Architect - Risk & Intelligence","Chief Architect - Risk & Intelligence","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","0","1.00","N/A","N/A","","Government Operational Research Service","Yorkshire and The Humber","nan","1.00"
"OD962","N/D","SCS1","Chief Domain Architect for VOA & Intermediaries","Chief Domain Architect for VOA & Intermediaries","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","0","1.00","N/A","N/A","","Digital, Data and Technology Professions","South East","nan","1.00"
"OD963","N/D","SCS1","Chief Architect - Counter Fraud","Chief Architect - Counter Fraud","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","4277472","1.00","N/A","N/A","","Digital, Data and Technology Professions","Yorkshire and The Humber","nan","1.00"
"OD964","N/D","SCS1","Chief Domain Architect - Corporate Services","Chief Domain Architect - Corporate Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","0","1.00","N/A","N/A","","Digital, Data and Technology Professions","Yorkshire and The Humber","nan","1.00"
"OD965","N/D","SCS1","DD Insolvency Governance & Professionalism","DD Insolvency Governance & Professionalism","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD605","696990","1.00","N/A","N/A","","Corporate Finance Profession","North West","nan","1.00"
"OD966","N/D","SCS1","CDG Group Finance & People Director","CDG Group Finance & People Director","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD319","3582762","1.00","N/A","N/A","","Government Finance Profession","North East","nan","1.00"
"OD967","Vacant","SCS1","Deputy Director Income Tax","Deputy Director Income Tax","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 22/12/2025","1.00"
"OD968","Vacant","SCS1","Programme Director Rapid Delivery Team","Programme Director Rapid Delivery Team","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 05/09/2024","1.00"
"OD972","N/D","SCS1","Deputy Director of Strategic Reporting","Deputy Director of Strategic Reporting","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD794","863818","1.00","N/A","N/A","","Government Finance Profession","London","nan","1.00"
"OD973","N/D","SCS1","Deputy Director, Strategic Customer Management (SCM) and External Readiness Assessment (ERA)","Deputy Director, Strategic Customer Management (SCM) and External Readiness Assessment (ERA)","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","1815600","1.00","N/A","N/A","","Other","London","Jobshare","1.00"
"OD973","N/D","SCS1","Deputy Director, Strategic Customer Management (SCM) and External Readiness Assessment (ERA)","Deputy Director, Strategic Customer Management (SCM) and External Readiness Assessment (ERA)","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","1815600","1.00","N/A","N/A","","Other","London","Jobshare","1.00"
